phase,specification,n,n_with_prompt_summary,n_with_alignment,mean_actual_pct,mean_predicted_pct,mean_overconfidence_pp
Phase 1,G1,24,23,0,34.72222222222222,57.5,22.777777777777775
Phase 1,G2,22,22,22,39.807162534435264,45.45454545454545,5.647382920110193
Phase 1,G3,24,23,23,65.53030303030303,43.333333333333336,-22.1969696969697
Phase 2,G1,24,24,0,39.77272727272727,62.5,22.72727272727273
Phase 2,G2,23,23,23,73.51778656126483,56.08695652173913,-17.43083003952569
Phase 2,G3,23,23,23,74.30830039525691,56.08695652173913,-18.22134387351779
