phase,specification,emm_overconfidence_pp,se,ci_low,ci_high
Phase 1,G1,26.036172340823466,6.39452133397546,13.502910526231565,38.569434155415365
Phase 1,G2,12.839547454657847,6.010475161523496,1.0590161380717937,24.6200787712439
Phase 1,G3,-19.29753715065027,5.922405884288521,-30.90545268385577,-7.68962161744477
Phase 2,G1,29.33920264385377,6.39452133397546,16.80594082926187,41.87246445844567
Phase 2,G2,-8.609347910626337,5.952832692356521,-20.276899987645116,3.0582041663924446
Phase 2,G3,-15.980108942658866,5.99130633770332,-27.723069364557375,-4.237148520760359
