phase,specification,n,predicted_pct_mean,actual_pct_mean,overconfidence_pp_mean,overconfidence_pp_ci_low,overconfidence_pp_ci_high,abs_error_pp_mean,abs_error_pp_ci_low,abs_error_pp_ci_high,overconfident_pct,well_calibrated_pct,underconfident_pct
Phase 1,G1,24,57.5,34.72222222222222,22.777777777777782,13.238616182338623,32.31693937321694,29.368686868686865,24.167851296145887,34.569522441227846,83.33333333333334,4.166666666666666,12.5
Phase 1,G2,22,45.45454545454545,39.80716253443526,5.647382920110193,-3.1813130550080437,14.47607889522843,16.94214876033058,11.902210934566945,21.982086586094212,45.45454545454545,36.36363636363637,18.181818181818183
Phase 1,G3,24,43.333333333333336,65.53030303030303,-22.1969696969697,-37.18948183451987,-7.204457559419527,31.565656565656568,20.117489397944844,43.01382373336829,12.5,29.166666666666668,58.333333333333336
Phase 2,G1,24,62.5,39.77272727272727,22.72727272727273,13.509318620452937,31.945226834092523,26.111111111111114,18.747522590946133,33.474699631276096,79.16666666666666,12.5,8.333333333333332
Phase 2,G2,23,56.08695652173913,73.51778656126481,-17.43083003952569,-32.99965230902827,-1.8620077700231104,31.976284584980235,21.882028363808054,42.070540806152415,26.08695652173913,17.391304347826086,56.52173913043478
Phase 2,G3,23,56.08695652173913,74.30830039525692,-18.22134387351779,-31.233743568801486,-5.208944178234093,28.39262187088274,19.63862452623156,37.14661921553392,13.043478260869565,30.434782608695656,56.52173913043478
