family,phase,contrast,estimate_diff_pp,test,statistic,p_value,hedges_g,p_adj_fdr
condition_within_phase,Phase 1,G2 - G1,-17.13039485766759,Welch t-test,-2.7330229309393412,0.00900724573399122,-0.7884459155320305,0.013510868600986832
condition_within_phase,Phase 1,G3 - G1,-44.97474747474748,Welch t-test,-5.235657286865366,5.939119742948462e-06,-1.486626956044104,2.672603884326808e-05
condition_within_phase,Phase 1,G3 - G2,-27.844352617079892,Welch t-test,-3.315069460989464,0.002068496431474567,-0.9396764590577817,0.004654116970817776
condition_within_phase,Phase 2,G2 - G1,-40.15810276679842,Welch t-test,-4.600011327641939,5.074938579279266e-05,-1.3331112669622498,0.000152248157378378
condition_within_phase,Phase 2,G3 - G1,-40.948616600790515,Welch t-test,-5.320935486343095,4.224872816909782e-06,-1.5369477919202101,2.672603884326808e-05
condition_within_phase,Phase 2,G3 - G2,-0.7905138339920974,Welch t-test,-0.080797054911902,0.9359812541044024,-0.023417310198578987,0.9924440268525782
phase_within_condition,Phase 2 - Phase 1,G1: Phase 2 - Phase 1,-0.05050505050505046,paired t-test,-0.00957362418604522,0.9924440268525782,-0.0019542078537482265,0.9924440268525782
phase_within_condition,Phase 2 - Phase 1,G2: Phase 2 - Phase 1,-25.714285714285715,paired t-test,-3.4032133803145257,0.0028203794313402227,-0.7426420438751359,0.0050766829764124005
phase_within_condition,Phase 2 - Phase 1,G3: Phase 2 - Phase 1,1.422924901185771,paired t-test,0.324188142660359,0.7488576931807892,0.06759790061107612,0.9628170340895861
