specification,n,regressions_any_n,regression_occurrence_rate,regression_severity_mean,regression_severity_sd,regression_severity_median,regression_severity_min,regression_severity_max,regression_rate_mean,regression_rate_sd,regression_rate_median,phase1_passed_mean,newly_fixed_mean,occurrence_rate_ci_low,occurrence_rate_ci_high
G1,24,2,0.08333333333333333,0.08333333333333333,0.28232985128663995,0.0,0,1,0.005809294871794872,0.019796200774648564,0.0,11.458333333333334,1.75,0.010256341281250149,0.2699728015576036
G2,24,2,0.08333333333333333,0.375,1.636871352943461,0.0,0,8,0.023809523809523808,0.1024687860509675,0.0,13.333333333333334,11.0,0.010256341281250149,0.2699728015576036
G3,24,4,0.16666666666666666,0.16666666666666666,0.38069349381344053,0.0,0,1,0.00703141252340337,0.01613641566869173,0.0,21.625,3.4166666666666665,0.04735362660725712,0.3738417134886826
