Task,specification,n,regressions_any_n,regression_occurrence_rate,regression_severity_mean,regression_severity_sd,regression_severity_median,regression_severity_min,regression_severity_max,regression_rate_mean,regression_rate_sd,regression_rate_median,phase1_passed_mean,newly_fixed_mean,occurrence_rate_ci_low,occurrence_rate_ci_high
A,G1,12,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10.666666666666666,0.9166666666666666,0.0,0.2646484693970513
A,G2,12,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,12.0,5.5,0.0,0.2646484693970513
A,G3,12,3,0.25,0.25,0.45226701686664544,0.0,0,1,0.010699096225412014,0.019956371800940894,0.0,21.083333333333332,1.5,0.05486064452799272,0.5718584618781892
B,G1,12,2,0.16666666666666666,0.16666666666666666,0.3892494720807615,0.0,0,1,0.011618589743589744,0.027308856758061315,0.0,12.25,2.5833333333333335,0.020862525460092384,0.48413774868596715
B,G2,12,2,0.16666666666666666,0.75,2.301185465244935,0.0,0,8,0.047619047619047616,0.14393532526879912,0.0,14.666666666666666,16.5,0.020862525460092384,0.48413774868596715
B,G3,12,1,0.08333333333333333,0.08333333333333333,0.28867513459481287,0.0,0,1,0.0030303030303030303,0.01005037815259212,0.0,22.166666666666668,5.333333333333333,0.0021075932318602264,0.38479616515094406
