Spec.,n,"Passed tests, mean (SD)","Failure count, mean (SD)","Full correct, n (%)","Failure diversity, mean (SD)","Prompt alignment, mean (SD)",AI fail. %,CO fail. %,EC fail. %,IV fail. %,TB fail. %
G1,24,11.46 (2.41),21.54 (2.41),0 (0.00%),4.04 (0.20),0.00 (0.00),58.33,76.49,48.15,92.71,8.33
G2,24,13.33 (2.28),19.67 (2.28),0 (0.00%),4.00 (0.00),0.45 (0.33),49.54,71.06,47.92,85.42,0.0
G3,24,21.62 (8.23),11.38 (8.23),1 (4.17%),3.21 (1.22),0.60 (0.26),23.61,51.36,31.02,31.46,0.0
