Spec.,n,"Passed tests, mean (SD)","Failure count, mean (SD)","Full correct, n (%)","Failure diversity, mean (SD)","Prompt alignment, mean (SD)"
G1,24,11.46 (2.41),21.54 (2.41),0 (0.00%),4.04 (0.20),0.00 (0.00)
G2,24,13.33 (2.28),19.67 (2.28),0 (0.00%),4.00 (0.00),0.45 (0.33)
G3,24,21.62 (8.23),11.38 (8.23),1 (4.17%),3.21 (1.22),0.60 (0.26)
