outcome,F,p,df_between,df_within,p_holm,eta_p2_bootstrap,ci_low,ci_high,eta_p2
failure_count,26.76735999263724,2.4851494907175426e-09,2,69,1.7396046435022798e-08,0.4368942940556602,0.2014940568466047,0.6861842966718861,0.4368942940556602
passed_tests,26.76735999263724,2.4851494907175426e-09,2,69,1.7396046435022798e-08,0.4368942940556601,0.20149405684660457,0.6861842966718862,0.4368942940556601
failure_diversity,10.457040572792366,0.00010795372165313811,2,69,0.00043181488661255246,0.23260073260073258,0.11320754716981132,0.39458016834325593,0.23260073260073258
