outcome,eta_p2,ci_low,ci_high
failure_count,0.4368942940556602,0.2014940568466047,0.6861842966718861
passed_tests,0.4368942940556601,0.20149405684660457,0.6861842966718862
failure_diversity,0.23260073260073258,0.11320754716981132,0.39458016834325593
norm_fail_AI,0.29207223360655754,0.10258629127097695,0.5674853476584808
norm_fail_CO,0.1783573156528193,0.05728541370028383,0.3572522339833275
norm_fail_EC,0.2070471920446054,0.04016332715884988,0.4872591637152184
norm_fail_IV,0.6140653026238512,0.40568092241467785,0.8096789942088798
norm_fail_TB,0.057142857142857155,0.05714285714285715,0.18181818181818182
