outcome,F,p,df_between,df_within,eta_p2,p_holm
failure_count,26.76735999263724,2.4851494907175426e-09,2,69,0.4369,1.7396046435022798e-08
passed_tests,26.76735999263724,2.4851494907175426e-09,2,69,0.4369,1.7396046435022798e-08
failure_diversity,10.457040572792366,0.00010795372165313811,2,69,0.2326,0.00043181488661255246
norm_fail_AI,14.23378561736771,6.677573199132896e-06,2,69,0.2921,3.338786599566448e-05
norm_fail_CO,7.489055166250595,0.0011391036694276845,2,69,0.1784,0.002278207338855369
norm_fail_EC,9.008263863718739,0.0003342206476771715,2,69,0.207,0.0010026619430315144
norm_fail_IV,54.89336171262875,5.429089223043816e-15,2,69,0.6141,4.343271378435053e-14
norm_fail_TB,1.0000000000000002,0.3787540419583015,2,33,0.0571,0.3787540419583015
