specification,n,alignment_mean,alignment_sd,omission_mean,alignment_change_mean
G1,0,,,,
G2,24,0.875,0.16484511834894675,0.125,0.4270833333333333
G3,24,0.8541666666666666,0.1259025387963337,0.14583333333333334,0.2608695652173913
